Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,11.7,,0,0.098,0,,98,0.001,,30/06/2005 15:52,01/07/2005 08:52,,01/07/2005 08:52,01/07/2005 18:37,,0,1.11,0.56,26:45:00,0.89,0
2005,H-Times-TopLab-HighTemp,Aerated,18,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,7.5,,0,0.028,0,,100,0,,01/07/2005 08:52,01/07/2005 18:37,,01/07/2005 08:52,01/07/2005 18:37,,0,0.41,0.2,19:30:00,1.22,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c16-1,Haustrum haustorium,Check datasheets,25.8,Haustrum scobina,Tauranga Head,13.6,,0,0.388,0,,95,,,29/06/2005 13:06,29/06/2005 14:08,,01/07/2005 09:07,01/07/2005 18:23,,1.79,2.22,2.01,10:18:00,2.28,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c4-1,Haustrum haustorium,Check datasheets,22.1,Haustrum scobina,Tauranga Head,13.2,,0,0.273,1,,100,0,,29/06/2005 18:51,29/06/2005 19:48,,01/07/2005 09:07,01/07/2005 18:28,,1.55,1.98,1.77,10:18:00,2.28,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c1-1,Haustrum haustorium,Check datasheets,33.9,Haustrum scobina,Tauranga Head,14.2,,0,0.339,1,,100,0,,29/06/2005 21:38,29/06/2005 23:13,,01/07/2005 09:07,01/07/2005 18:28,,1.41,1.87,1.64,10:56:00,2.15,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c12-1,Haustrum haustorium,Check datasheets,44.3,Haustrum scobina,Tauranga Head,14.9,,0,0.625,1,,100,0,,29/06/2005 23:13,30/06/2005 08:39,,01/07/2005 09:07,01/07/2005 18:28,,1.02,1.8,1.41,18:47:00,1.26,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,8.6,,0,0.06,1,,90,,,30/06/2005 14:25,30/06/2005 15:48,,01/07/2005 09:07,01/07/2005 18:28,,0.72,1.17,0.95,10:44:00,2.19,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c17-1,Haustrum haustorium,Check datasheets,22,Siphonaria australis,EPFS & ?Lighthouse Reef,7.6,,0,0.022,0,,100,0,,30/06/2005 15:48,01/07/2005 09:07,,01/07/2005 09:07,01/07/2005 18:28,,0,1.11,0.56,26:40:00,0.89,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,9.4,,0,0.09,1,,100,0,,01/07/2005 09:07,01/07/2005 18:28,,01/07/2005 18:28,01/07/2005 23:02,,0,0.58,0.29,13:55:00,1.7,0
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c15-1,Haustrum haustorium,Check datasheets,35.9,Haustrum scobina,Tauranga Head,16.4,,0,0.723,1,,95,,some digestive not eaten,30/06/2005 15:52,01/07/2005 08:52,,01/07/2005 18:37,01/07/2005 23:08,,0.41,1.3,0.85,21:31:00,1.1,0
2005,H-Times-TopLab-HighTemp,Aerated,18,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,11.1,,0,0.094,0,,99,0.001,,01/07/2005 08:52,01/07/2005 18:37,,01/07/2005 18:37,01/07/2005 23:08,,0,0.59,0.3,14:16:00,1.65,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c22-1,Haustrum haustorium,Check datasheets,28.4,Haustrum scobina,Tauranga Head,13.9,,0,0.376,1,,100,0,,30/06/2005 03:48,01/07/2005 09:07,,01/07/2005 23:02,02/07/2005 08:23,,0.58,2.19,1.39,38:40:00,0.62,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c14-1,Haustrum haustorium,Check datasheets,26.4,Siphonaria australis,EPFS & ?Lighthouse Reef,6.7,,0,0.02,0,,100,0,,30/06/2005 15:48,01/07/2005 09:07,,01/07/2005 23:02,02/07/2005 08:23,,0.58,1.69,1.14,26:40:00,0.89,0
